short_name,club_name,nationality_name,position_group,age,overall,potential,international_reputation,pace,shooting,passing,dribbling,defending,physic,weak_foot,skill_moves,value_eur,display_label
V. van Dijk,Liverpool,Netherlands,Defender,31,89,89,4,78.0,60.0,71.0,72.0,89.0,86.0,3,2,70500000.0,V. van Dijk (Liverpool)
M. Salah,Liverpool,Egypt,Forward,31,89,89,5,89.0,87.0,81.0,88.0,45.0,76.0,3,4,85500000.0,M. Salah (Liverpool)
F. Valverde,Real Madrid,Uruguay,Midfielder,24,88,92,3,88.0,82.0,84.0,84.0,80.0,82.0,4,3,130500000.0,F. Valverde (Real Madrid)
V. Osimhen,Napoli,Nigeria,Forward,24,88,91,3,90.0,86.0,66.0,83.0,42.0,82.0,4,3,126500000.0,V. Osimhen (Napoli)
Ederson,Manchester City,Brazil,Goalkeeper,29,88,89,3,0.0,0.0,0.0,0.0,0.0,0.0,3,1,70000000.0,Ederson (Manchester City)
J. Kimmich,FC Bayern München,Germany,Midfielder,28,88,89,4,70.0,74.0,88.0,84.0,82.0,79.0,4,3,88000000.0,J. Kimmich (FC Bayern München)
A. Griezmann,Atlético Madrid,France,Forward,32,88,88,5,80.0,88.0,87.0,88.0,58.0,75.0,3,4,74000000.0,A. Griezmann (Atlético Madrid)
J. Oblak,Atlético Madrid,Slovenia,Goalkeeper,30,88,88,4,0.0,0.0,0.0,0.0,0.0,0.0,3,1,61000000.0,J. Oblak (Atlético Madrid)
Bruno Fernandes,Manchester United,Portugal,Midfielder,28,88,88,4,71.0,86.0,90.0,83.0,69.0,77.0,3,4,92000000.0,Bruno Fernandes (Manchester United)
Bernardo Silva,Manchester City,Portugal,Midfielder,28,88,88,3,69.0,78.0,86.0,92.0,70.0,69.0,3,4,91500000.0,Bernardo Silva (Manchester City)
M. Ødegaard,Arsenal,Norway,Midfielder,24,87,90,4,72.0,81.0,88.0,87.0,61.0,64.0,2,5,109000000.0,M. Ødegaard (Arsenal)
F. de Jong,FC Barcelona,Netherlands,Midfielder,26,87,90,4,82.0,69.0,86.0,87.0,77.0,78.0,3,4,103500000.0,F. de Jong (FC Barcelona)
G. Donnarumma,Paris Saint Germain,Italy,Goalkeeper,24,87,90,3,0.0,0.0,0.0,0.0,0.0,0.0,3,1,85000000.0,G. Donnarumma (Paris Saint Germain)
L. Martínez,Inter,Argentina,Forward,25,87,90,3,80.0,86.0,71.0,85.0,48.0,85.0,4,4,107000000.0,L. Martínez (Inter)
G. Kobel,Borussia Dortmund,Switzerland,Goalkeeper,25,87,90,3,0.0,0.0,0.0,0.0,0.0,0.0,3,1,81500000.0,G. Kobel (Borussia Dortmund)
M. Maignan,Milan,France,Goalkeeper,27,87,89,3,0.0,0.0,0.0,0.0,0.0,0.0,4,1,73000000.0,M. Maignan (Milan)
Marquinhos,Paris Saint Germain,Brazil,Defender,29,87,88,3,78.0,56.0,75.0,74.0,89.0,80.0,3,3,73500000.0,Marquinhos (Paris Saint Germain)
M. Neuer,FC Bayern München,Germany,Goalkeeper,37,87,87,5,0.0,0.0,0.0,0.0,0.0,0.0,4,1,9000000.0,M. Neuer (FC Bayern München)
L. Modrić,Real Madrid,Croatia,Midfielder,37,87,87,4,72.0,76.0,89.0,87.0,72.0,66.0,4,4,25000000.0,L. Modrić (Real Madrid)
H. Son,Tottenham Hotspur,Korea Republic,Forward,30,87,87,4,87.0,88.0,80.0,84.0,42.0,70.0,5,4,77000000.0,H. Son (Tottenham Hotspur)
J. Musiala,FC Bayern München,Germany,Midfielder,20,86,93,3,85.0,75.0,76.0,91.0,63.0,61.0,4,5,134500000.0,J. Musiala (FC Bayern München)
K. Kvaratskhelia,Napoli,Georgia,Forward,22,86,92,2,84.0,80.0,81.0,87.0,41.0,71.0,5,5,109000000.0,K. Kvaratskhelia (Napoli)
Pedri,FC Barcelona,Spain,Midfielder,20,86,92,3,78.0,69.0,82.0,88.0,70.0,74.0,4,4,105000000.0,Pedri (FC Barcelona)
Rafael Leão,Milan,Portugal,Forward,24,86,91,2,93.0,80.0,75.0,87.0,27.0,76.0,4,4,102500000.0,Rafael Leão (Milan)
J. Bellingham,Real Madrid,England,Midfielder,20,86,91,3,76.0,78.0,80.0,85.0,78.0,82.0,4,4,100500000.0,J. Bellingham (Real Madrid)
R. Araujo,FC Barcelona,Uruguay,Defender,24,86,91,3,79.0,51.0,65.0,62.0,86.0,84.0,3,2,93000000.0,R. Araujo (FC Barcelona)
B. Saka,Arsenal,England,Forward,21,86,90,2,85.0,81.0,79.0,87.0,60.0,70.0,3,3,99000000.0,B. Saka (Arsenal)
M. de Ligt,FC Bayern München,Netherlands,Defender,23,86,89,3,66.0,61.0,64.0,68.0,85.0,86.0,3,2,83000000.0,M. de Ligt (FC Bayern München)
Éder Militão,Real Madrid,Brazil,Defender,25,86,89,3,85.0,50.0,69.0,71.0,86.0,82.0,3,2,80000000.0,Éder Militão (Real Madrid)
S. Tonali,Newcastle United,Italy,Midfielder,23,86,89,3,84.0,74.0,81.0,81.0,82.0,84.0,4,3,84000000.0,S. Tonali (Newcastle United)
N. Barella,Inter,Italy,Midfielder,26,86,88,3,78.0,78.0,82.0,85.0,78.0,80.0,3,3,83500000.0,N. Barella (Inter)
T. Alexander-Arnold,Liverpool,England,Defender,24,86,88,3,76.0,69.0,90.0,79.0,80.0,73.0,4,3,81000000.0,T. Alexander-Arnold (Liverpool)
C. Nkunku,Chelsea,France,Forward,25,86,88,3,82.0,81.0,83.0,88.0,62.0,67.0,3,5,86500000.0,C. Nkunku (Chelsea)
O. Dembélé,Paris Saint Germain,France,Forward,26,86,87,3,93.0,77.0,81.0,87.0,36.0,57.0,5,5,80000000.0,O. Dembélé (Paris Saint Germain)
T. Kroos,Real Madrid,Germany,Midfielder,33,86,86,4,51.0,80.0,90.0,81.0,70.0,71.0,5,3,42000000.0,T. Kroos (Real Madrid)
W. Szczęsny,Juventus,Poland,Goalkeeper,33,86,86,3,0.0,0.0,0.0,0.0,0.0,0.0,3,1,22000000.0,W. Szczęsny (Juventus)
İ. Gündoğan,FC Barcelona,Germany,Midfielder,32,86,86,3,62.0,81.0,84.0,86.0,72.0,73.0,4,4,53500000.0,İ. Gündoğan (FC Barcelona)
Parejo,Villarreal,Spain,Midfielder,34,86,86,2,49.0,83.0,90.0,80.0,73.0,69.0,4,3,31500000.0,Parejo (Villarreal)
João Cancelo,FC Barcelona,Portugal,Defender,29,86,86,3,81.0,73.0,85.0,84.0,80.0,72.0,4,4,59500000.0,João Cancelo (FC Barcelona)
P. Dybala,Roma,Argentina,Forward,29,86,86,3,80.0,85.0,85.0,90.0,40.0,60.0,3,4,68000000.0,P. Dybala (Roma)
A. Robertson,Liverpool,Scotland,Defender,29,86,86,3,80.0,61.0,82.0,81.0,81.0,77.0,2,3,59500000.0,A. Robertson (Liverpool)
Rodrygo,Real Madrid,Brazil,Forward,22,85,91,3,88.0,81.0,79.0,86.0,31.0,62.0,4,4,86500000.0,Rodrygo (Real Madrid)
F. Wirtz,Bayer 04 Leverkusen,Germany,Midfielder,20,85,91,3,74.0,76.0,83.0,87.0,52.0,63.0,4,4,83500000.0,F. Wirtz (Bayer 04 Leverkusen)
T. Hernández,Milan,France,Defender,25,85,90,3,93.0,71.0,76.0,81.0,78.0,84.0,3,3,73500000.0,T. Hernández (Milan)
A. Bastoni,Inter,Italy,Defender,24,85,90,2,73.0,35.0,72.0,73.0,86.0,83.0,3,2,73500000.0,A. Bastoni (Inter)
P. Foden,Manchester City,England,Forward,23,85,90,3,81.0,79.0,82.0,88.0,57.0,60.0,3,4,81500000.0,P. Foden (Manchester City)
J. Koundé,FC Barcelona,France,Defender,24,85,89,3,84.0,45.0,68.0,75.0,86.0,80.0,3,3,69500000.0,J. Koundé (FC Barcelona)
M. Rashford,Manchester United,England,Forward,25,85,88,3,90.0,86.0,78.0,84.0,42.0,74.0,3,5,71500000.0,M. Rashford (Manchester United)
Diogo Jota,Liverpool,Portugal,Forward,26,85,87,2,82.0,82.0,75.0,85.0,57.0,77.0,5,4,67500000.0,Diogo Jota (Liverpool)
D. Rice,Arsenal,England,Midfielder,24,85,87,3,71.0,65.0,75.0,77.0,83.0,83.0,3,2,63000000.0,D. Rice (Arsenal)
J. Stones,Manchester City,England,Defender,29,85,86,2,72.0,52.0,75.0,77.0,85.0,77.0,4,3,49500000.0,J. Stones (Manchester City)
A. Onana,Manchester United,Cameroon,Goalkeeper,27,85,86,3,0.0,0.0,0.0,0.0,0.0,0.0,3,1,46000000.0,A. Onana (Manchester United)
K. Trippier,Newcastle United,England,Defender,32,85,85,2,68.0,65.0,86.0,79.0,82.0,72.0,4,3,37500000.0,K. Trippier (Newcastle United)
K. Trapp,Eintracht Frankfurt,Germany,Goalkeeper,32,85,85,3,0.0,0.0,0.0,0.0,0.0,0.0,4,1,26500000.0,K. Trapp (Eintracht Frankfurt)
C. Immobile,Lazio,Italy,Forward,33,85,85,4,85.0,87.0,68.0,78.0,39.0,74.0,4,3,34500000.0,C. Immobile (Lazio)
Iago Aspas,Celta de Vigo,Spain,Forward,35,85,85,3,81.0,85.0,79.0,86.0,35.0,64.0,4,3,23000000.0,Iago Aspas (Celta de Vigo)
K. Navas,Paris Saint Germain,Costa Rica,Goalkeeper,36,85,85,3,0.0,0.0,0.0,0.0,0.0,0.0,3,1,6000000.0,K. Navas (Paris Saint Germain)
D. Alaba,Real Madrid,Austria,Defender,31,85,85,4,79.0,71.0,83.0,80.0,85.0,77.0,4,3,37000000.0,D. Alaba (Real Madrid)
R. Varane,Manchester United,France,Defender,30,85,85,3,79.0,49.0,64.0,67.0,86.0,78.0,4,2,44000000.0,R. Varane (Manchester United)
E. Martínez,Aston Villa,Argentina,Goalkeeper,30,85,85,3,0.0,0.0,0.0,0.0,0.0,0.0,4,1,36000000.0,E. Martínez (Aston Villa)
A. Rüdiger,Real Madrid,Germany,Defender,30,85,85,3,82.0,54.0,71.0,66.0,84.0,86.0,3,2,44000000.0,A. Rüdiger (Real Madrid)
J. Grealish,Manchester City,England,Forward,27,85,85,3,76.0,76.0,84.0,88.0,53.0,73.0,3,4,57500000.0,J. Grealish (Manchester City)
H. Çalhanoğlu,Inter,Turkey,Midfielder,29,85,85,3,67.0,80.0,86.0,85.0,70.0,66.0,4,4,52500000.0,H. Çalhanoğlu (Inter)
L. Goretzka,FC Bayern München,Germany,Midfielder,28,85,85,4,78.0,81.0,81.0,83.0,80.0,86.0,4,3,54000000.0,L. Goretzka (FC Bayern München)
T. Partey,Arsenal,Ghana,Midfielder,30,85,85,2,68.0,71.0,82.0,80.0,81.0,82.0,3,3,45000000.0,T. Partey (Arsenal)
D. Berardi,Sassuolo,Italy,Forward,28,85,85,2,82.0,83.0,81.0,87.0,36.0,72.0,3,4,54500000.0,D. Berardi (Sassuolo)
K. Coman,FC Bayern München,France,Midfielder,27,85,85,4,89.0,76.0,79.0,87.0,30.0,62.0,3,5,57500000.0,K. Coman (FC Bayern München)
G. Di Lorenzo,Napoli,Italy,Defender,29,85,85,2,85.0,67.0,75.0,79.0,82.0,82.0,3,3,47500000.0,G. Di Lorenzo (Napoli)
M. Acuña,Sevilla,Argentina,Defender,31,85,85,3,75.0,74.0,83.0,83.0,81.0,84.0,3,3,39000000.0,M. Acuña (Sevilla)
A. Tchouaméni,Real Madrid,France,Midfielder,23,84,89,3,73.0,69.0,79.0,78.0,81.0,81.0,3,3,58500000.0,A. Tchouaméni (Real Madrid)
I. Bennacer,Milan,Algeria,Midfielder,25,84,88,2,80.0,72.0,81.0,86.0,79.0,78.0,3,4,53500000.0,I. Bennacer (Milan)
F. Tomori,Milan,England,Defender,25,84,88,2,86.0,40.0,59.0,66.0,86.0,82.0,4,2,52500000.0,F. Tomori (Milan)
M. Diaby,Aston Villa,France,Midfielder,23,84,88,3,95.0,73.0,75.0,86.0,42.0,59.0,3,4,60500000.0,M. Diaby (Aston Villa)
Gabriel Martinelli,Arsenal,Brazil,Forward,22,84,88,2,89.0,78.0,76.0,86.0,46.0,72.0,3,4,61500000.0,Gabriel Martinelli (Arsenal)
A. Ramsdale,Arsenal,England,Goalkeeper,25,84,87,2,0.0,0.0,0.0,0.0,0.0,0.0,3,1,43000000.0,A. Ramsdale (Arsenal)
R. Kolo Muani,Paris Saint Germain,France,Forward,24,84,87,3,91.0,78.0,73.0,86.0,38.0,67.0,4,4,58500000.0,R. Kolo Muani (Paris Saint Germain)
L. Martínez,Manchester United,Argentina,Defender,25,84,87,2,73.0,59.0,78.0,79.0,85.0,83.0,3,3,49500000.0,L. Martínez (Manchester United)
Bremer,Juventus,Brazil,Defender,26,84,87,1,80.0,50.0,56.0,65.0,85.0,83.0,2,2,49000000.0,Bremer (Juventus)
Bruno Guimarães,Newcastle United,Brazil,Midfielder,25,84,87,2,71.0,74.0,81.0,84.0,80.0,81.0,2,3,55500000.0,Bruno Guimarães (Newcastle United)
N. Süle,Borussia Dortmund,Germany,Defender,27,84,86,3,73.0,51.0,68.0,62.0,85.0,85.0,3,3,45000000.0,N. Süle (Borussia Dortmund)
Álex Remiro,Real Sociedad,Spain,Goalkeeper,28,84,86,2,0.0,0.0,0.0,0.0,0.0,0.0,4,1,36000000.0,Álex Remiro (Real Sociedad)
Gabriel,Arsenal,Brazil,Defender,25,84,86,2,70.0,41.0,62.0,60.0,85.0,82.0,2,2,47000000.0,Gabriel (Arsenal)
A. Hakimi,Paris Saint Germain,Morocco,Defender,24,84,86,3,92.0,75.0,80.0,80.0,75.0,78.0,4,4,50500000.0,A. Hakimi (Paris Saint Germain)
Kim Min Jae,FC Bayern München,Korea Republic,Defender,26,84,86,2,80.0,33.0,58.0,64.0,85.0,84.0,3,2,46000000.0,Kim Min Jae (FC Bayern München)
R. James,Chelsea,England,Defender,23,84,86,2,80.0,72.0,83.0,82.0,82.0,81.0,3,3,50500000.0,R. James (Chelsea)
J. Brandt,Borussia Dortmund,Germany,Midfielder,27,84,85,3,71.0,80.0,84.0,86.0,51.0,70.0,4,4,48500000.0,J. Brandt (Borussia Dortmund)
P. Højbjerg,Tottenham Hotspur,Denmark,Midfielder,27,84,85,2,55.0,73.0,78.0,78.0,81.0,82.0,4,3,43000000.0,P. Højbjerg (Tottenham Hotspur)
J. Maddison,Tottenham Hotspur,England,Midfielder,26,84,85,2,71.0,81.0,86.0,86.0,54.0,63.0,4,4,49500000.0,J. Maddison (Tottenham Hotspur)
L. Hernández,Paris Saint Germain,France,Defender,27,84,85,3,76.0,54.0,70.0,70.0,84.0,78.0,2,2,42500000.0,L. Hernández (Paris Saint Germain)
Mikel Merino,Real Sociedad,Spain,Midfielder,27,84,85,2,72.0,78.0,82.0,82.0,83.0,82.0,3,3,48000000.0,Mikel Merino (Real Sociedad)
Gabriel Jesus,Arsenal,Brazil,Forward,26,84,85,2,83.0,82.0,75.0,88.0,40.0,77.0,3,4,50500000.0,Gabriel Jesus (Arsenal)
Raphinha,FC Barcelona,Brazil,Forward,26,84,85,3,91.0,79.0,78.0,86.0,53.0,73.0,4,4,49500000.0,Raphinha (FC Barcelona)
F. Chiesa,Juventus,Italy,Midfielder,25,84,85,3,91.0,82.0,76.0,86.0,53.0,75.0,4,4,50500000.0,F. Chiesa (Juventus)
L. Díaz,Liverpool,Colombia,Forward,26,84,85,2,91.0,81.0,75.0,87.0,34.0,74.0,4,4,49500000.0,L. Díaz (Liverpool)
Thiago Silva,Chelsea,Brazil,Defender,38,84,84,4,51.0,54.0,74.0,72.0,87.0,74.0,3,2,7500000.0,Thiago Silva (Chelsea)
Y. Sommer,Inter,Switzerland,Goalkeeper,34,84,84,3,0.0,0.0,0.0,0.0,0.0,0.0,4,1,7000000.0,Y. Sommer (Inter)
P. Gulácsi,RB Leipzig,Hungary,Goalkeeper,33,84,84,3,0.0,0.0,0.0,0.0,0.0,0.0,2,1,13500000.0,P. Gulácsi (RB Leipzig)
K. Walker,Manchester City,England,Defender,33,84,84,3,90.0,63.0,77.0,78.0,79.0,81.0,2,3,22000000.0,K. Walker (Manchester City)
Thiago,Liverpool,Spain,Midfielder,32,84,84,3,61.0,72.0,86.0,89.0,71.0,67.0,3,5,33000000.0,Thiago (Liverpool)
T. Müller,FC Bayern München,Germany,Midfielder,33,84,84,4,59.0,82.0,83.0,79.0,55.0,69.0,4,3,26500000.0,T. Müller (FC Bayern München)
C. Smalling,Roma,England,Defender,33,84,84,3,62.0,47.0,58.0,62.0,87.0,82.0,3,2,20000000.0,C. Smalling (Roma)
R. Lukaku,Roma,Belgium,Forward,30,84,84,4,80.0,84.0,74.0,77.0,38.0,82.0,4,3,41500000.0,R. Lukaku (Roma)
K. Casteels,VfL Wolfsburg,Belgium,Goalkeeper,31,84,84,3,0.0,0.0,0.0,0.0,0.0,0.0,2,1,22500000.0,K. Casteels (VfL Wolfsburg)
Koke,Atlético Madrid,Spain,Midfielder,31,84,84,3,69.0,72.0,85.0,79.0,79.0,78.0,4,3,29500000.0,Koke (Atlético Madrid)
Luis Alberto,Lazio,Spain,Midfielder,30,84,84,2,69.0,77.0,85.0,84.0,62.0,58.0,3,4,40500000.0,Luis Alberto (Lazio)
M. Depay,Atlético Madrid,Netherlands,Forward,29,84,84,4,82.0,82.0,81.0,85.0,30.0,80.0,3,5,42000000.0,M. Depay (Atlético Madrid)
N. Pope,Newcastle United,England,Goalkeeper,31,84,84,2,0.0,0.0,0.0,0.0,0.0,0.0,3,1,22500000.0,N. Pope (Newcastle United)
S. Gnabry,FC Bayern München,Germany,Midfielder,27,84,84,3,81.0,84.0,78.0,84.0,43.0,68.0,4,4,45000000.0,S. Gnabry (FC Bayern München)
M. Ginter,SC Freiburg,Germany,Defender,29,84,84,3,60.0,59.0,71.0,66.0,85.0,80.0,3,2,35500000.0,M. Ginter (SC Freiburg)
A. Rabiot,Juventus,France,Midfielder,28,84,84,2,78.0,76.0,80.0,80.0,82.0,84.0,3,3,42000000.0,A. Rabiot (Juventus)
Grimaldo,Bayer 04 Leverkusen,Spain,Defender,27,84,84,3,87.0,69.0,83.0,84.0,76.0,72.0,2,3,40500000.0,Grimaldo (Bayer 04 Leverkusen)
R. De Paul,Atlético Madrid,Argentina,Midfielder,29,84,84,3,78.0,77.0,83.0,82.0,75.0,83.0,3,4,41000000.0,R. De Paul (Atlético Madrid)
S. Lobotka,Napoli,Slovakia,Midfielder,28,84,84,2,71.0,70.0,81.0,83.0,77.0,75.0,4,3,42000000.0,S. Lobotka (Napoli)
L. Sané,FC Bayern München,Germany,Midfielder,27,84,84,3,91.0,81.0,80.0,85.0,38.0,68.0,2,4,45000000.0,L. Sané (FC Bayern München)
Marcos Llorente,Atlético Madrid,Spain,Midfielder,28,84,84,3,89.0,78.0,79.0,80.0,78.0,81.0,4,3,42500000.0,Marcos Llorente (Atlético Madrid)
M. Škriniar,Paris Saint Germain,Slovakia,Defender,28,84,84,3,78.0,41.0,57.0,67.0,86.0,83.0,3,2,36500000.0,M. Škriniar (Paris Saint Germain)
Gavi,FC Barcelona,Spain,Midfielder,18,83,90,3,76.0,66.0,78.0,85.0,68.0,70.0,3,3,68500000.0,Gavi (FC Barcelona)
W. Saliba,Arsenal,France,Defender,22,83,89,2,82.0,39.0,69.0,73.0,84.0,82.0,3,2,53000000.0,W. Saliba (Arsenal)
E. Fernández,Chelsea,Argentina,Midfielder,22,83,89,3,73.0,73.0,81.0,80.0,75.0,79.0,4,3,58000000.0,E. Fernández (Chelsea)
A. Davies,FC Bayern München,Canada,Defender,22,83,88,3,95.0,66.0,78.0,84.0,74.0,77.0,4,4,52000000.0,A. Davies (FC Bayern München)
C. Gakpo,Liverpool,Netherlands,Forward,24,83,88,2,85.0,82.0,78.0,84.0,42.0,73.0,4,4,55500000.0,C. Gakpo (Liverpool)
D. Vlahović,Juventus,Serbia,Forward,23,83,88,2,80.0,85.0,66.0,79.0,29.0,82.0,3,3,55500000.0,D. Vlahović (Juventus)
N. Schlotterbeck,Borussia Dortmund,Germany,Defender,23,83,88,3,78.0,58.0,67.0,73.0,85.0,82.0,2,3,49500000.0,N. Schlotterbeck (Borussia Dortmund)
J. Frimpong,Bayer 04 Leverkusen,Netherlands,Defender,22,83,88,2,94.0,56.0,75.0,84.0,74.0,70.0,3,3,52000000.0,J. Frimpong (Bayer 04 Leverkusen)
Dani Olmo,RB Leipzig,Spain,Midfielder,25,83,87,3,68.0,76.0,82.0,86.0,50.0,59.0,4,4,50500000.0,Dani Olmo (RB Leipzig)
S. Botman,Newcastle United,Netherlands,Defender,23,83,87,2,65.0,37.0,63.0,66.0,84.0,84.0,3,2,47000000.0,S. Botman (Newcastle United)
Unai Simón,Athletic Club,Spain,Goalkeeper,26,83,86,3,0.0,0.0,0.0,0.0,0.0,0.0,3,1,36500000.0,Unai Simón (Athletic Club)
Pau Torres,Aston Villa,Spain,Defender,26,83,86,3,72.0,38.0,68.0,70.0,84.0,81.0,3,2,42000000.0,Pau Torres (Aston Villa)
A. Christensen,FC Barcelona,Denmark,Defender,27,83,85,2,67.0,32.0,68.0,71.0,85.0,76.0,3,2,38500000.0,A. Christensen (FC Barcelona)
J. Giménez,Atlético Madrid,Uruguay,Defender,28,83,85,2,71.0,46.0,58.0,61.0,85.0,82.0,3,2,36500000.0,J. Giménez (Atlético Madrid)
A. Meret,Napoli,Italy,Goalkeeper,26,83,85,2,0.0,0.0,0.0,0.0,0.0,0.0,3,1,34000000.0,A. Meret (Napoli)
G. Mancini,Roma,Italy,Defender,27,83,85,2,67.0,45.0,54.0,62.0,83.0,86.0,3,2,38500000.0,G. Mancini (Roma)
K. Laimer,FC Bayern München,Austria,Midfielder,26,83,84,3,80.0,69.0,77.0,78.0,81.0,79.0,3,3,38000000.0,K. Laimer (FC Bayern München)
G. Rodríguez,Real Betis,Argentina,Midfielder,28,83,84,2,51.0,58.0,72.0,70.0,85.0,80.0,4,2,35000000.0,G. Rodríguez (Real Betis)
B. Pavard,Inter,France,Defender,27,83,84,3,70.0,62.0,73.0,72.0,85.0,78.0,3,3,36500000.0,B. Pavard (Inter)
A. Zambo Anguissa,Napoli,Cameroon,Midfielder,27,83,84,1,78.0,68.0,72.0,81.0,81.0,86.0,3,3,37000000.0,A. Zambo Anguissa (Napoli)
L. Pellegrini,Roma,Italy,Midfielder,27,83,84,2,79.0,76.0,83.0,83.0,74.0,78.0,4,3,42000000.0,L. Pellegrini (Roma)
Palhinha,Fulham,Portugal,Midfielder,27,83,84,2,62.0,67.0,71.0,76.0,84.0,89.0,4,2,37000000.0,Palhinha (Fulham)
Oyarzabal,Real Sociedad,Spain,Midfielder,26,83,84,3,77.0,83.0,80.0,83.0,41.0,62.0,3,3,43000000.0,Oyarzabal (Real Sociedad)
P. Schick,Bayer 04 Leverkusen,Czech Republic,Forward,27,83,84,3,79.0,80.0,71.0,81.0,37.0,76.0,3,4,42500000.0,P. Schick (Bayer 04 Leverkusen)
Sergio Ramos,Sevilla,Spain,Defender,37,83,83,4,57.0,69.0,73.0,70.0,83.0,76.0,3,3,6500000.0,Sergio Ramos (Sevilla)
H. Lloris,Tottenham Hotspur,France,Goalkeeper,36,83,83,4,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4000000.0,H. Lloris (Tottenham Hotspur)
M. Hummels,Borussia Dortmund,Germany,Defender,34,83,83,3,53.0,58.0,76.0,70.0,86.0,78.0,3,2,12000000.0,M. Hummels (Borussia Dortmund)
M. Reus,Borussia Dortmund,Germany,Midfielder,34,83,83,3,65.0,83.0,83.0,85.0,53.0,63.0,4,4,17000000.0,M. Reus (Borussia Dortmund)
C. Eriksen,Manchester United,Denmark,Midfielder,31,83,83,3,59.0,77.0,89.0,81.0,51.0,53.0,5,4,30000000.0,C. Eriksen (Manchester United)
A. Lacazette,Olympique Lyonnais,France,Forward,32,83,83,3,72.0,84.0,77.0,83.0,44.0,77.0,4,4,29500000.0,A. Lacazette (Olympique Lyonnais)
W. Ben Yedder,Monaco,France,Forward,32,83,83,3,80.0,84.0,78.0,87.0,39.0,68.0,5,4,29500000.0,W. Ben Yedder (Monaco)
F. Acerbi,Inter,Italy,Defender,35,83,83,3,60.0,50.0,64.0,64.0,86.0,80.0,3,3,9500000.0,F. Acerbi (Inter)
Nacho Fernández,Real Madrid,Spain,Defender,33,83,83,2,75.0,37.0,69.0,71.0,82.0,80.0,4,2,17500000.0,Nacho Fernández (Real Madrid)
Morata,Atlético Madrid,Spain,Forward,30,83,83,3,82.0,82.0,72.0,79.0,31.0,79.0,4,3,35500000.0,Morata (Atlético Madrid)
Sergi Darder,Mallorca,Spain,Midfielder,29,83,83,2,81.0,76.0,82.0,83.0,74.0,77.0,3,3,35500000.0,Sergi Darder (Mallorca)
R. Sterling,Chelsea,England,Forward,28,83,83,4,85.0,78.0,76.0,85.0,45.0,67.0,3,4,36500000.0,R. Sterling (Chelsea)
W. Orban,RB Leipzig,Hungary,Defender,30,83,83,3,58.0,36.0,56.0,56.0,85.0,81.0,3,2,30000000.0,W. Orban (RB Leipzig)
Jorginho,Arsenal,Italy,Midfielder,31,83,83,2,53.0,67.0,84.0,81.0,74.0,73.0,3,3,25500000.0,Jorginho (Arsenal)
S. Haller,Borussia Dortmund,Côte d'Ivoire,Forward,29,83,83,3,62.0,81.0,63.0,76.0,52.0,81.0,3,3,36500000.0,S. Haller (Borussia Dortmund)
L. Shaw,Manchester United,England,Defender,27,83,83,2,76.0,57.0,82.0,79.0,81.0,78.0,2,3,35000000.0,L. Shaw (Manchester United)
Gerard Moreno,Villarreal,Spain,Forward,31,83,83,3,77.0,85.0,77.0,81.0,46.0,72.0,4,3,30500000.0,Gerard Moreno (Villarreal)
